,Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Moved
753,2001,Medicine,The Nobel Prize in Physiology or Medicine 2001,"""for their discoveries of key regulators of the cell cycle""",3-Jan,737,Individual,Sir Paul M. Nurse,1/25/1949,Norwich,United Kingdom,Male,Imperial Cancer Research Fund,London,United Kingdom,,,,no
756,2001,Physics,The Nobel Prize in Physics 2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3-Jan,738,Individual,Eric A. Cornell,12/19/1961,"Palo Alto, CA",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America,,,,no
757,2001,Physics,The Nobel Prize in Physics 2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3-Jan,739,Individual,Wolfgang Ketterle,10/21/1957,Heidelberg,West Germany (Germany),Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,,yes
758,2001,Physics,The Nobel Prize in Physics 2001,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3-Jan,740,Individual,Carl E. Wieman,3/26/1951,"Corvallis, OR",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America,,,,no
759,2002,Chemistry,The Nobel Prize in Chemistry 2002,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4-Jan,756,Individual,John B. Fenn,6/15/1917,"New York, NY",United States of America,Male,Virginia Commonwealth University,"Richmond, VA",United States of America,12/10/2010,"Richmond, VA",United States of America,no
760,2002,Chemistry,The Nobel Prize in Chemistry 2002,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4-Jan,757,Individual,Koichi Tanaka,8/3/1959,Toyama City,Japan,Male,Shimadzu Corp.,Kyoto,Japan,,,,no
761,2002,Chemistry,The Nobel Prize in Chemistry 2002,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2-Jan,758,Individual,Kurt Wüthrich,10/4/1938,Aarberg,Switzerland,Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,,,,no
762,2002,Chemistry,The Nobel Prize in Chemistry 2002,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2-Jan,758,Individual,Kurt Wüthrich,10/4/1938,Aarberg,Switzerland,Male,The Scripps Research Institute,"La Jolla, CA",United States of America,,,,yes
763,2002,Economics,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",2-Jan,759,Individual,Daniel Kahneman,3/5/1934,Tel Aviv,British Mandate of Palestine (Israel),Male,Princeton University,"Princeton, NJ",United States of America,,,,yes
764,2002,Economics,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",2-Jan,760,Individual,Vernon L. Smith,1/1/1927,"Wichita, KS",United States of America,Male,George Mason University,"Fairfax, VA",United States of America,,,,no
766,2002,Medicine,The Nobel Prize in Physiology or Medicine 2002,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3-Jan,750,Individual,Sydney Brenner,1/13/1927,Germiston,South Africa,Male,The Molecular Sciences Institute,"Berkeley, CA",United States of America,,,,yes
767,2002,Medicine,The Nobel Prize in Physiology or Medicine 2002,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3-Jan,751,Individual,H. Robert Horvitz,5/8/1947,"Chicago, IL",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,,no
768,2002,Medicine,The Nobel Prize in Physiology or Medicine 2002,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3-Jan,752,Individual,John E. Sulston,3/27/1942,Cambridge,United Kingdom,Male,The Wellcome Trust Sanger Institute,Cambridge,United Kingdom,,,,no
770,2002,Physics,The Nobel Prize in Physics 2002,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4-Jan,753,Individual,Raymond Davis Jr.,10/14/1914,"Washington, DC",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,5/31/2006,"Blue Point, NY",United States of America,no
771,2002,Physics,The Nobel Prize in Physics 2002,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4-Jan,754,Individual,Masatoshi Koshiba,9/19/1926,Toyohashi,Japan,Male,University of Tokyo,Tokyo,Japan,,,,no
772,2002,Physics,The Nobel Prize in Physics 2002,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",2-Jan,755,Individual,Riccardo Giacconi,10/6/1931,Genoa,Italy,Male,Associated Universities Inc.,"Washington, DC",United States of America,,,,yes
773,2003,Chemistry,The Nobel Prize in Chemistry 2003,"""for discoveries concerning channels in cell membranes; for the discovery of water channels""",2-Jan,769,Individual,Peter Agre,1/30/1949,"Northfield, MN",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,,,,no
774,2003,Chemistry,The Nobel Prize in Chemistry 2003,"""for discoveries concerning channels in cell membranes; for structural and mechanistic studies of ion channels""",2-Jan,770,Individual,Roderick MacKinnon,2/19/1956,"Burlington, MA",United States of America,Male,Rockefeller University,"New York, NY",United States of America,,,,no
776,2003,Economics,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2-Jan,771,Individual,Robert F. Engle III,11/10/1942,"Syracuse, NY",United States of America,Male,New York University,"New York, NY",United States of America,,,,no
777,2003,Economics,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with common trends (cointegration)""",2-Jan,772,Individual,Clive W.J. Granger,9/4/1934,Swansea,United Kingdom,Male,University of California,"San Diego, CA",United States of America,5/27/2009,"San Diego, CA",United States of America,yes
779,2003,Medicine,The Nobel Prize in Physiology or Medicine 2003,"""for their discoveries concerning magnetic resonance imaging""",2-Jan,764,Individual,Paul C. Lauterbur,5/6/1929,"Sidney, OH",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,3/27/2007,"Urbana, IL",United States of America,no
780,2003,Medicine,The Nobel Prize in Physiology or Medicine 2003,"""for their discoveries concerning magnetic resonance imaging""",2-Jan,765,Individual,Sir Peter Mansfield,10/9/1933,London,United Kingdom,Male,"University of Nottingham, School of Physics and Astronomy",Nottingham,United Kingdom,2/8/2017,,,no
782,2003,Physics,The Nobel Prize in Physics 2003,"""for pioneering contributions to the theory of superconductors and superfluids""",3-Jan,766,Individual,Alexei A. Abrikosov,6/25/1928,Moscow,Union of Soviet Socialist Republics (Russia),Male,Argonne National Laboratory,"Argonne, IL",United States of America,,,,yes
783,2003,Physics,The Nobel Prize in Physics 2003,"""for pioneering contributions to the theory of superconductors and superfluids""",3-Jan,767,Individual,Vitaly L. Ginzburg,10/4/1916,Moscow,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Russia,11/8/2009,,,no
784,2003,Physics,The Nobel Prize in Physics 2003,"""for pioneering contributions to the theory of superconductors and superfluids""",3-Jan,768,Individual,Anthony J. Leggett,3/26/1938,London,United Kingdom,Male,University of Illinois,"Urbana, IL",United States of America,,,,yes
785,2004,Chemistry,The Nobel Prize in Chemistry 2004,"""for the discovery of ubiquitin-mediated protein degradation""",3-Jan,779,Individual,Aaron Ciechanover,10/1/1947,Haifa,British Protectorate of Palestine (Israel),Male,Technion - Israel Institute of Technology,Haifa,Israel,,,,yes
786,2004,Chemistry,The Nobel Prize in Chemistry 2004,"""for the discovery of ubiquitin-mediated protein degradation""",3-Jan,780,Individual,Avram Hershko,12/31/1937,Karcag,Hungary,Male,Technion - Israel Institute of Technology,Haifa,Israel,,,,yes
787,2004,Chemistry,The Nobel Prize in Chemistry 2004,"""for the discovery of ubiquitin-mediated protein degradation""",3-Jan,781,Individual,Irwin Rose,7/16/1926,"Brooklyn, NY",United States of America,Male,University of California,"Irvine, CA",United States of America,6/3/2015,"Deerfield, MA",United States of America,no
788,2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2-Jan,786,Individual,Finn E. Kydland,12/1/1943,Gjesdal,Norway,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,,,,yes
789,2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2-Jan,786,Individual,Finn E. Kydland,12/1/1943,Gjesdal,Norway,Male,University of California,"Santa Barbara, CA",United States of America,,,,yes
790,2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2-Jan,787,Individual,Edward C. Prescott,12/26/1940,"Glens Falls, NY",United States of America,Male,Arizona State University,"Tempe, AZ",United States of America,,,,no
791,2004,Economics,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2-Jan,787,Individual,Edward C. Prescott,12/26/1940,"Glens Falls, NY",United States of America,Male,Federal Reserve Bank of Minneapolis,"Minneapolis, MN",United States of America,,,,no
793,2004,Medicine,The Nobel Prize in Physiology or Medicine 2004,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2-Jan,774,Individual,Richard Axel,7/2/1946,"New York, NY",United States of America,Male,Columbia University,"New York, NY",United States of America,,,,no
794,2004,Medicine,The Nobel Prize in Physiology or Medicine 2004,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2-Jan,775,Individual,Linda B. Buck,1/29/1947,"Seattle, WA",United States of America,Female,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,,,,no
796,2004,Physics,The Nobel Prize in Physics 2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3-Jan,776,Individual,David J. Gross,2/19/1941,"Washington, DC",United States of America,Male,"University of California, Kavli Institute for Theoretical Physics","Santa Barbara, CA",United States of America,,,,no
797,2004,Physics,The Nobel Prize in Physics 2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3-Jan,777,Individual,H. David Politzer,8/31/1949,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,,,,no
798,2004,Physics,The Nobel Prize in Physics 2004,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3-Jan,778,Individual,Frank Wilczek,5/15/1951,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,,no
799,2005,Chemistry,The Nobel Prize in Chemistry 2005,"""for the development of the metathesis method in organic synthesis""",3-Jan,794,Individual,Yves Chauvin,10/10/1930,Menin,Belgium,Male,Institut Français du Pétrole,Rueil-Malmaison,France,1/27/2015,Tours,France,yes
800,2005,Chemistry,The Nobel Prize in Chemistry 2005,"""for the development of the metathesis method in organic synthesis""",3-Jan,795,Individual,Robert H. Grubbs,2/27/1942,"Possum Trot, KY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,,,,no
801,2005,Chemistry,The Nobel Prize in Chemistry 2005,"""for the development of the metathesis method in organic synthesis""",3-Jan,796,Individual,Richard R. Schrock,1/4/1945,"Berne, IN",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,,no
802,2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2-Jan,799,Individual,Robert J. Aumann,6/8/1930,Frankfurt-on-the-Main,Germany,Male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,,,,yes
803,2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2-Jan,800,Individual,Thomas C. Schelling,4/14/1921,"Oakland, CA",United States of America,Male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",United States of America,12/13/2016,"Bethesda, MD",United States of America,no
805,2005,Medicine,The Nobel Prize in Physiology or Medicine 2005,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2-Jan,789,Individual,Barry J. Marshall,9/30/1951,Kalgoorlie,Australia,Male,"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Nedlands,Australia,,,,no
806,2005,Medicine,The Nobel Prize in Physiology or Medicine 2005,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2-Jan,789,Individual,Barry J. Marshall,9/30/1951,Kalgoorlie,Australia,Male,University of Western Australia,Perth,Australia,,,,no
807,2005,Medicine,The Nobel Prize in Physiology or Medicine 2005,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2-Jan,790,Individual,J. Robin Warren,6/11/1937,Adelaide,Australia,Male,,Perth,Australia,,,,no
810,2005,Physics,The Nobel Prize in Physics 2005,"""for his contribution to the quantum theory of optical coherence""",2-Jan,791,Individual,Roy J. Glauber,9/1/1925,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,,no
811,2005,Physics,The Nobel Prize in Physics 2005,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4-Jan,792,Individual,John L. Hall,8/21/1934,"Denver, CO",United States of America,Male,"University of Colorado, JILA","Boulder, CO",United States of America,,,,no
812,2005,Physics,The Nobel Prize in Physics 2005,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4-Jan,792,Individual,John L. Hall,8/21/1934,"Denver, CO",United States of America,Male,National Institute of Standards and Technology,"Boulder, CO",United States of America,,,,no
813,2005,Physics,The Nobel Prize in Physics 2005,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4-Jan,793,Individual,Theodor W. Hänsch,10/30/1941,Heidelberg,Germany,Male,Max-Planck-Institut für Quantenoptik,Garching,Germany,,,,no
814,2005,Physics,The Nobel Prize in Physics 2005,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4-Jan,793,Individual,Theodor W. Hänsch,10/30/1941,Heidelberg,Germany,Male,Ludwig-Maximilians- Universität,Munich,Germany,,,,no
815,2006,Chemistry,The Nobel Prize in Chemistry 2006,"""for his studies of the molecular basis of eukaryotic transcription""",1-Jan,806,Individual,Roger D. Kornberg,4/24/1947,"St. Louis, MO",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,,no
816,2006,Economics,The Sveriges Riksbank Prize in Economic Sciences 2006,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1-Jan,807,Individual,Edmund S. Phelps,7/26/1933,"Evanston, IL",United States of America,Male,Columbia University,"New York, NY",United States of America,,,,no
818,2006,Medicine,The Nobel Prize in Physiology or Medicine 2006,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2-Jan,802,Individual,Andrew Z. Fire,4/27/1959,"Stanford, CA",United States of America,Male,Stanford University School of Medicine,"Stanford, CA",United States of America,,,,no
819,2006,Medicine,The Nobel Prize in Physiology or Medicine 2006,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2-Jan,803,Individual,Craig C. Mello,10/19/1960,"New Haven, CT",United States of America,Male,University of Massachusetts Medical School,"Worcester, MA",United States of America,,,,no
822,2006,Physics,The Nobel Prize in Physics 2006,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2-Jan,804,Individual,John C. Mather,8/7/1946,"Roanoke, VA",United States of America,Male,NASA Goddard Space Flight Center,"Greenbelt, MD",United States of America,,,,no
823,2006,Physics,The Nobel Prize in Physics 2006,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2-Jan,805,Individual,George F. Smoot,2/20/1945,"Yukon, FL",United States of America,Male,University of California,"Berkeley, CA",United States of America,,,,no
824,2007,Chemistry,The Nobel Prize in Chemistry 2007,"""for his studies of chemical processes on solid surfaces""",1-Jan,816,Individual,Gerhard Ertl,10/10/1936,Bad Cannstatt,Germany,Male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,,,,no
825,2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",3-Jan,820,Individual,Leonid Hurwicz,8/21/1917,Moscow,Russia,Male,University of Minnesota,"Minneapolis, MN",United States of America,6/24/2008,"Minneapolis, MN",United States of America,yes
826,2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",3-Jan,821,Individual,Eric S. Maskin,12/12/1950,"New York, NY",United States of America,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,,,,no
827,2007,Economics,The Sveriges Riksbank Prize in Economic Sciences 2007,"""for having laid the foundations of mechanism design theory""",3-Jan,822,Individual,Roger B. Myerson,3/29/1951,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,,no
829,2007,Medicine,The Nobel Prize in Physiology or Medicine 2007,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3-Jan,811,Individual,Mario R. Capecchi,10/6/1937,Verona,Italy,Male,University of Utah,"Salt Lake City, UT",United States of America,,,,yes
831,2007,Medicine,The Nobel Prize in Physiology or Medicine 2007,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3-Jan,812,Individual,Sir Martin J. Evans,1/1/1941,Stroud,United Kingdom,Male,Cardiff University,Cardiff,United Kingdom,,,,no
832,2007,Medicine,The Nobel Prize in Physiology or Medicine 2007,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3-Jan,813,Individual,Oliver Smithies,6/23/1925,Halifax,United Kingdom,Male,University of North Carolina,"Chapel Hill, NC",United States of America,1/10/2017,"Chapel Hill, NC",United States of America,yes
835,2007,Physics,The Nobel Prize in Physics 2007,"""for the discovery of Giant Magnetoresistance""",2-Jan,814,Individual,Albert Fert,3/7/1938,Carcassonne,France,Male,Universit&eacute; Paris-Sud,Orsay,France,,,,no
836,2007,Physics,The Nobel Prize in Physics 2007,"""for the discovery of Giant Magnetoresistance""",2-Jan,814,Individual,Albert Fert,3/7/1938,Carcassonne,France,Male,Unit&eacute; Mixte de Physique CNRS/THALES,Orsay,France,,,,no
837,2007,Physics,The Nobel Prize in Physics 2007,"""for the discovery of Giant Magnetoresistance""",2-Jan,815,Individual,Peter Grünberg,5/18/1939,Plzen,Czechoslovakia (Czech Republic),Male,Forschungszentrum J&uuml;lich,J&uuml;lich,Germany,,,,yes
838,2008,Chemistry,The Nobel Prize in Chemistry 2008,"""for the discovery and development of the green fluorescent protein, GFP""",3-Jan,829,Individual,Osamu Shimomura,8/27/1928,Kyoto,Japan,Male,Marine Biological Laboratory (MBL),"Woods Hole, MA",United States of America,,,,yes
839,2008,Chemistry,The Nobel Prize in Chemistry 2008,"""for the discovery and development of the green fluorescent protein, GFP""",3-Jan,829,Individual,Osamu Shimomura,8/27/1928,Kyoto,Japan,Male,Boston University Medical School,"Massachusetts, MA",United States of America,,,,yes
840,2008,Chemistry,The Nobel Prize in Chemistry 2008,"""for the discovery and development of the green fluorescent protein, GFP""",3-Jan,830,Individual,Martin Chalfie,1/15/1947,"Chicago, IL",United States of America,Male,Columbia University,"New York, NY",United States of America,,,,no
841,2008,Chemistry,The Nobel Prize in Chemistry 2008,"""for the discovery and development of the green fluorescent protein, GFP""",3-Jan,831,Individual,Roger Y. Tsien,2/1/1952,"New York, NY",United States of America,Male,University of California,"San Diego, CA",United States of America,8/24/2016,"Eugene, OR",United States of America,no
843,2008,Economics,The Sveriges Riksbank Prize in Economic Sciences 2008,"""for his analysis of trade patterns and location of economic activity""",1-Jan,834,Individual,Paul Krugman,2/28/1953,"New York, NY",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,,,,no
845,2008,Medicine,The Nobel Prize in Physiology or Medicine 2008,"""for his discovery of human papilloma viruses causing cervical cancer""",2-Jan,823,Individual,Harald zur Hausen,3/11/1936,Gelsenkirchen,Germany,Male,German Cancer Research Center,Heidelberg,Germany,,,,no
846,2008,Medicine,The Nobel Prize in Physiology or Medicine 2008,"""for their discovery of human immunodeficiency virus""",4-Jan,824,Individual,Françoise Barré-Sinoussi,7/30/1947,Paris,France,Female,"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,France,,,,no
847,2008,Medicine,The Nobel Prize in Physiology or Medicine 2008,"""for their discovery of human immunodeficiency virus""",4-Jan,825,Individual,Luc Montagnier,8/18/1932,Chabris,France,Male,World Foundation for AIDS Research and Prevention,Paris,France,,,,no
849,2008,Physics,The Nobel Prize in Physics 2008,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2-Jan,826,Individual,Yoichiro Nambu,1/18/1921,Tokyo,Japan,Male,"Enrico Fermi Institute, University of Chicago","Chicago, IL",United States of America,7/5/2015,Osaka,Japan,yes
850,2008,Physics,The Nobel Prize in Physics 2008,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4-Jan,827,Individual,Makoto Kobayashi,4/7/1944,Nagoya,Japan,Male,High Energy Accelerator Research Organization (KEK),Tsukuba,Japan,,,,no
851,2008,Physics,The Nobel Prize in Physics 2008,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4-Jan,828,Individual,Toshihide Maskawa,2/7/1940,Nagoya,Japan,Male,Kyoto Sangyo University,Kyoto,Japan,,,,no
852,2008,Physics,The Nobel Prize in Physics 2008,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4-Jan,828,Individual,Toshihide Maskawa,2/7/1940,Nagoya,Japan,Male,"Yukawa Institute for Theoretical Physics (YITP), Kyoto University",Kyoto,Japan,,,,no
853,2009,Chemistry,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",3-Jan,841,Individual,Venkatraman Ramakrishnan,,"Chidambaram, Tamil Nadu",India,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,,,,yes
854,2009,Chemistry,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",3-Jan,842,Individual,Thomas A. Steitz,8/23/1940,"Milwaukee, WI",United States of America,Male,Yale University,"New Haven, CT",United States of America,,,,no
856,2009,Chemistry,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",3-Jan,843,Individual,Ada E. Yonath,6/22/1939,Jerusalem,British Mandate of Palestine (Israel),Female,Weizmann Institute of Science,Rehovot,Israel,,,,yes
857,2009,Economics,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for her analysis of economic governance, especially the commons""",2-Jan,846,Individual,Elinor Ostrom,8/7/1933,"Los Angeles, CA",United States of America,Female,Indiana University,"Bloomington, IN",United States of America,6/12/2012,"Bloomington, IN",United States of America,no
858,2009,Economics,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for her analysis of economic governance, especially the commons""",2-Jan,846,Individual,Elinor Ostrom,8/7/1933,"Los Angeles, CA",United States of America,Female,Arizona State University,"Tempe, AZ",United States of America,6/12/2012,"Bloomington, IN",United States of America,no
859,2009,Economics,The Sveriges Riksbank Prize in Economic Sciences 2009,"""for his analysis of economic governance, especially the boundaries of the firm""",2-Jan,847,Individual,Oliver E. Williamson,9/27/1932,"Superior, WI",United States of America,Male,University of California,"Berkeley, CA",United States of America,,,,no
861,2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3-Jan,835,Individual,Elizabeth H. Blackburn,11/26/1948,"Hobart, Tasmania",Australia,Female,University of California,"San Francisco, CA",United States of America,,,,yes
862,2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3-Jan,836,Individual,Carol W. Greider,4/15/1961,"San Diego, CA",United States of America,Female,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,,,,no
863,2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3-Jan,837,Individual,Jack W. Szostak,11/9/1952,London,United Kingdom,Male,Harvard Medical School,"Boston, MA",United States of America,,,,yes
864,2009,Medicine,The Nobel Prize in Physiology or Medicine 2009,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3-Jan,837,Individual,Jack W. Szostak,11/9/1952,London,United Kingdom,Male,Massachusetts General Hospital,"Boston, MA",United States of America,,,,yes
867,2009,Physics,The Nobel Prize in Physics 2009,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2-Jan,838,Individual,Charles Kuen Kao,11/4/1933,Shanghai,China,Male,Standard Telecommunication Laboratories,Harlow,United Kingdom,,,,yes
868,2009,Physics,The Nobel Prize in Physics 2009,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2-Jan,838,Individual,Charles Kuen Kao,11/4/1933,Shanghai,China,Male,Chinese University of Hong Kong,Hong Kong,China,,,,no
869,2009,Physics,The Nobel Prize in Physics 2009,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4-Jan,839,Individual,Willard S. Boyle,8/19/1924,"Amherst, NS",Canada,Male,Bell Laboratories,"Murray Hill, NJ",United States of America,5/7/2011,"Truro, NS",Canada,yes
870,2009,Physics,The Nobel Prize in Physics 2009,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4-Jan,840,Individual,George E. Smith,5/10/1930,"White Plains, NY",United States of America,Male,Bell Laboratories,"Murray Hill, NJ",United States of America,,,,no
871,2010,Chemistry,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",3-Jan,851,Individual,Richard F. Heck,8/15/1931,"Springfield, MA",United States of America,Male,University of Delaware,,United States of America,10/9/2015,Manila,Philippines,no
872,2010,Chemistry,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",3-Jan,852,Individual,Ei-ichi Negishi,7/14/1935,Changchun,China,Male,Purdue University,"West Lafayette, IN",United States of America,,,,yes
873,2010,Chemistry,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",3-Jan,853,Individual,Akira Suzuki,9/12/1930,Mukawa,Japan,Male,Hokkaido University,Sapporo,Japan,,,,no
874,2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",3-Jan,856,Individual,Peter A. Diamond,4/29/1940,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,,no
875,2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",3-Jan,857,Individual,Dale T. Mortensen,2/2/1939,"Enterprise, OR",United States of America,Male,Northwestern University,"Evanston, IL",United States of America,1/9/2014,"Wilmette, IL",United States of America,no
876,2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",3-Jan,857,Individual,Dale T. Mortensen,2/2/1939,"Enterprise, OR",United States of America,Male,Aarhus University,Aarhus,Denmark,1/9/2014,"Wilmette, IL",United States of America,yes
877,2010,Economics,The Sveriges Riksbank Prize in Economic Sciences 2010,"""for their analysis of markets with search frictions""",3-Jan,858,Individual,Christopher A. Pissarides,2/20/1948,Nicosia,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom,,,,yes
